!SIL 1.0	SIL
A 1.0	A
kRApe 1.0	k R A p e
kRamA 1.0	k R a m A
kRamawA 1.0	k R a m a w A
kRamwA 1.0	k R a m w A
kRewa 1.0	k R e w a
kRewrIya 1.0	k R e w r I y a
kRewra 1.0	k R e w r a
kRewro 1.0	k R e w r o
kRewroM 1.0	k R e w r o M
kRhewroM 1.0	k R h e w r o M
kRraxXAFjalI 1.0	k R r a x X A F j a l I
kUliwa 1.0	k U l i w a
kZuraAna 1.0	k Z u r a A n a
ka 1.0	k a
kaBI 1.0	k a B I
kaBIkaBI 1.0	k a B I k a B I
kaCave 1.0	k a C a v e
kaCu 1.0	k a C u
kaI 1.0	k a I
kaIM 1.0	k a I M
kaMgresa 1.0	k a M g r e s a
kaMja 1.0	k a M j a
kaMpanI 1.0	k a M p a n I
kaMpanIyo 1.0	k a M p a n I y o
kaMpnI 1.0	k a M p n I
kaMpyUtara 1.0	k a M p y U t a r a
kaRta 1.0	k a R t a
kaSamIra 1.0	k a S a m I r a
kaSmIrI 1.0	k a S m I r I
kaSmIra 1.0	k a S m I r a
kaTina 1.0	k a T i n a
kaTiwa 1.0	k a T i w a
kaTora 1.0	k a T o r a
kaWA 1.0	k a W A
kaWAoM 1.0	k a W A o M
kaWiwa 1.0	k a W i w a
kabUla 1.0	k a b U l a
kaba 1.0	k a b a
kabi 1.0	k a b i
kabjA 1.0	k a b j A
kabjZA 1.0	k a b j Z A
kabjZe 1.0	k a b j Z e
kabje 1.0	k a b j e
kabula 1.0	k a b u l a
kacCa 1.0	k a c C a
kadA 1.0	k a d A
kadI 1.0	k a d I
kadZI 1.0	k a d Z I
kahA 1.0	k a h A
kahAnI 1.0	k a h A n I
kahAniyAz 1.0	k a h A n i y A z
kahAniyoM 1.0	k a h A n i y o M
kahI 1.0	k a h I
kahIM 1.0	k a h I M
kaha 1.0	k a h a
kahahiM 1.0	k a h a h i M
kahalAwI 1.0	k a h a l A w I
kahanA 1.0	k a h a n A
kahasi 1.0	k a h a s i
kahauz 1.0	k a h a u z
kahawA 1.0	k a h a w A
kahawI 1.0	k a h a w I
kahawa 1.0	k a h a w a
kahawe 1.0	k a h a w e
kahe 1.0	k a h e
kaheM 1.0	k a h e M
kaheMge 1.0	k a h e M g e
kahi 1.0	k a h i
kahkara 1.0	k a h k a r a
kahnA 1.0	k a h n A
kahu 1.0	k a h u
kakRa 1.0	k a k R a
kaksara 1.0	k a k s a r a
kaksaxa 1.0	k a k s a x a
kalA 1.0	k a l A
kalAkAra 1.0	k a l A k A r a
kalAkAroM 1.0	k a l A k A r o M
kala 1.0	k a l a
kalikAla 1.0	k a l i k A l a
kalkawwA 1.0	k a l k a w w A
kalkawwe 1.0	k a l k a w w e
kalyANa 1.0	k a l y A N a
kamAMda 1.0	k a m A M d a
kamAMdara 1.0	k a m A M d a r a
kamI 1.0	k a m I
kamIM 1.0	k a m I M
kama 1.0	k a m a
kamajora 1.0	k a m a j o r a
kamalAbAlana 1.0	k a m a l A b A l a n a
kamala 1.0	k a m a l a
kamlA 1.0	k a m l A
kamnista 1.0	k a m n i s t a
kampyUtara 1.0	k a m p y U t a r a
kamyUniRta 1.0	k a m y U n i R t a
kamyunIsta 1.0	k a m y u n I s t a
kamyunisto 1.0	k a m y u n i s t o
kanAta 1.0	k a n A t a
kanJalvA 1.0	k a n J a l v A
kangana 1.0	k a n g a n a
kanyA 1.0	k a n y A
kanyAoM 1.0	k a n y A o M
kapUra 1.0	k a p U r a
kapa 1.0	k a p a
kapanI 1.0	k a p a n I
kapi 1.0	k a p i
kapnI 1.0	k a p n I
kapwAna 1.0	k a p w A n a
karA 1.0	k a r A
karAI 1.0	k a r A I
karAne 1.0	k a r A n e
karAyA 1.0	k a r A y A
karAye 1.0	k a r A y e
karIba 1.0	k a r I b a
karNiyo 1.0	k a r N i y o
karOM 1.0	k a r O M
karUzgA 1.0	k a r U z g A
kara 1.0	k a r a
karaNa 1.0	k a r a N a
karaNpAla 1.0	k a r a N p A l a
karagila 1.0	k a r a g i l a
karahiM 1.0	k a r a h i M
karai 1.0	k a r a i
karake 1.0	k a r a k e
karanA 1.0	k a r a n A
karana 1.0	k a r a n a
karane 1.0	k a r a n e
karauz 1.0	k a r a u z
karawA 1.0	k a r a w A
karawe 1.0	k a r a w e
kare 1.0	k a r e
kareM 1.0	k a r e M
kareMgI 1.0	k a r e M g I
kareMge 1.0	k a r e M g e
karegA 1.0	k a r e g A
karegI 1.0	k a r e g I
karege 1.0	k a r e g e
kargila 1.0	k a r g i l a
kari 1.0	k a r i
karja 1.0	k a r j a
karjxAroM 1.0	k a r j x A r o M
karke 1.0	k a r k e
karlI 1.0	k a r l I
karma 1.0	k a r m a
karmacArI 1.0	k a r m a c A r I
karmacArIyoM 1.0	k a r m a c A r I y o M
karmacAriyoM 1.0	k a r m a c A r i y o M
karmcArI 1.0	k a r m c A r I
karmcArIyo 1.0	k a r m c A r I y o
karmcArIyoM 1.0	k a r m c A r I y o M
karmcAriyoM 1.0	k a r m c A r i y o M
karmiyoM 1.0	k a r m i y o M
karnA 1.0	k a r n A
karnAla 1.0	k a r n A l a
karnAtakA 1.0	k a r n A t a k A
karnAtaka 1.0	k a r n A t a k a
karnI 1.0	k a r n I
karna 1.0	k a r n a
karnala 1.0	k a r n a l a
karne 1.0	k a r n e
karnevAle 1.0	k a r n e v A l e
karnevAloM 1.0	k a r n e v A l o M
karo 1.0	k a r o
karoDa 1.0	k a r o D a
karodZa 1.0	k a r o d Z a
karodZo 1.0	k a r o d Z o
karoda 1.0	k a r o d a
karodoM 1.0	k a r o d o M
karola 1.0	k a r o l a
karwA 1.0	k a r w A
karwI 1.0	k a r w I
karwavya 1.0	k a r w a v y a
karwe 1.0	k a r w e
karxama 1.0	k a r x a m a
karxeM 1.0	k a r x e M
karxeMge 1.0	k a r x e M g e
karxiyA 1.0	k a r x i y A
karyAlaya 1.0	k a r y A l a y a
karya 1.0	k a r y a
karyavAhI 1.0	k a r y a v A h I
katowI 1.0	k a t o w I
katrarsa 1.0	k a t r a r s a
kattara 1.0	k a t t a r a
kavayiwrI 1.0	k a v a y i w r I
kavi 1.0	k a v i
kaviMxa 1.0	k a v i M x a
kaviwA 1.0	k a v i w A
kawCa 1.0	k a w C a
kaxama 1.0	k a x a m a
kazpnI 1.0	k a z p n I
ke 1.0	k e
keM 1.0	k e M
keMgu 1.0	k e M g u
keMmpa 1.0	k e M m p a
keMxra 1.0	k e M x r a
keMxriwa 1.0	k e M x r i w a
keMxriya 1.0	k e M x r i y a
keSava 1.0	k e S a v a
kebineta 1.0	k e b i n e t a
kebneta 1.0	k e b n e t a
kegahare 1.0	k e g a h a r e
kehanA 1.0	k e h a n A
kemsa 1.0	k e m s a
kenedA 1.0	k e n e d A
keniyA 1.0	k e n i y A
kenxrIwa 1.0	k e n x r I w a
kenxrIya 1.0	k e n x r I y a
kenxra 1.0	k e n x r a
kenxriwa 1.0	k e n x r i w a
keptana 1.0	k e p t a n a
kerala 1.0	k e r a l a
kerana 1.0	k e r a n a
kevala 1.0	k e v a l a
kewu 1.0	k e w u
keyara 1.0	k e y a r a
ki 1.0	k i
kiE 1.0	k i E
kiSora 1.0	k i S o r a
kie 1.0	k i e
kiez 1.0	k i e z
kika 1.0	k i k a
kilA 1.0	k i l A
killawa 1.0	k i l l a w a
kilo 1.0	k i l o
kilomItara 1.0	k i l o m I t a r a
kilovAta 1.0	k i l o v A t a
kinAre 1.0	k i n A r e
kina 1.0	k i n a
kinwu 1.0	k i n w u
kipara 1.0	k i p a r a
kiraxAra 1.0	k i r a x A r a
kisAnoM 1.0	k i s A n o M
kisI 1.0	k i s I
kisIse 1.0	k i s I s e
kisa 1.0	k i s a
kisaPkevana 1.0	k i s a P k e v a n a
kisana 1.0	k i s a n a
kisma 1.0	k i s m a
kisme 1.0	k i s m e
kismeM 1.0	k i s m e M
kismoM 1.0	k i s m o M
kisse 1.0	k i s s e
kiwAba 1.0	k i w A b a
kiwanA 1.0	k i w a n A
kiwane 1.0	k i w a n e
kiyA 1.0	k i y A
kiyE 1.0	k i y E
kiye 1.0	k i y e
klaba 1.0	k l a b a
klaboM 1.0	k l a b o M
kliMtana 1.0	k l i M t a n a
klika 1.0	k l i k a
klinika 1.0	k l i n i k a
ko 1.0	k o
koI 1.0	k o I
koM 1.0	k o M
koMgresa 1.0	k o M g r e s a
koMkaNa 1.0	k o M k a N a
koPA 1.0	k o P A
koPI 1.0	k o P I
koRa 1.0	k o R a
koSa 1.0	k o S a
koSiSa 1.0	k o S i S a
koSiSoM 1.0	k o S i S o M
koU 1.0	k o U
koca 1.0	k o c a
kokada 1.0	k o k a d a
kola 1.0	k o l a
kolakAwA 1.0	k o l a k A w A
kolambiyA 1.0	k o l a m b i y A
kolonI 1.0	k o l o n I
kolona 1.0	k o l o n a
komala 1.0	k o m a l a
konAka 1.0	k o n A k a
konsila 1.0	k o n s i l a
kopA 1.0	k o p A
korIyA 1.0	k o r I y A
kora 1.0	k o r a
kosova 1.0	k o s o v a
kosovo 1.0	k o s o v o
kotI 1.0	k o t I
kotbalvala 1.0	k o t b a l v a l a
koti 1.0	k o t i
kou 1.0	k o u
kovA 1.0	k o v A
kowAhi 1.0	k o w A h i
koyalA 1.0	k o y a l A
koylA 1.0	k o y l A
kqRNa 1.0	k q R N a
kqRi 1.0	k q R i
kqpA 1.0	k q p A
kqpayA 1.0	k q p a y A
kqwi 1.0	k q w i
krAvlI 1.0	k r A v l I
kraNa 1.0	k r a N a
krama 1.0	k r a m a
kramaSaH 1.0	k r a m a S a H
kriRNa 1.0	k r i R N a
kriRnA 1.0	k r i R n A
kriketa 1.0	k r i k e t a
krisa 1.0	k r i s a
kriswInA 1.0	k r i s w I n A
kriwrima 1.0	k r i w r i m a
kriyA 1.0	k r i y A
kroXa 1.0	k r o X a
krornikovA 1.0	k r o r n i k o v A
krosiMga 1.0	k r o s i M g a
kruRNa 1.0	k r u R N a
kruRNacanxra 1.0	k r u R N a c a n x r a
kruRaNa 1.0	k r u R a N a
kruRi 1.0	k r u R i
kruwagyawA 1.0	k r u w a g y a w A
kruwyagyawA 1.0	k r u w y a g y a w A
kuCa 1.0	k u C a
kuCe 1.0	k u C e
kuKyAwa 1.0	k u K y A w a
kuMda 1.0	k u M d a
kuMdu 1.0	k u M d u
kuRNA 1.0	k u R N A
kuSABAU 1.0	k u S A B A U
kuSala 1.0	k u S a l a
kucCa 1.0	k u c C a
kuca 1.0	k u c a
kukata 1.0	k u k a t a
kulAbA 1.0	k u l A b A
kulI 1.0	k u l I
kula 1.0	k u l a
kumAUz 1.0	k u m A U z
kumArI 1.0	k u m A r I
kumAra 1.0	k u m A r a
kumAramanglama 1.0	k u m A r a m a n g l a m a
kumArmanglama 1.0	k u m A r m a n g l a m a
kumuka 1.0	k u m u k a
kunwI 1.0	k u n w I
kupseka 1.0	k u p s e k a
kupvADA 1.0	k u p v A D A
kupvAdZA 1.0	k u p v A d Z A
kurbAnI 1.0	k u r b A n I
kureSI 1.0	k u r e S I
kutanIwika 1.0	k u t a n I w i k a
kuwubbuxxIna 1.0	k u w u b b u x x I n a
kvAtara 1.0	k v A t a r a
kviMtala 1.0	k v i M t a l a
kyA 1.0	k y A
kyUbika 1.0	k y U b i k a
kyoM 1.0	k y o M
kyoMki 1.0	k y o M k i
kyu 1.0	k y u
lA 1.0	l A
lAIPa 1.0	l A I P a
lAIna 1.0	l A I n a
lAIno 1.0	l A I n o
lAInsa 1.0	l A I n s a
lAKa 1.0	l A K a
lAKo 1.0	l A K o
lAMsa 1.0	l A M s a
lAMsnAyaka 1.0	l A M s n A y a k a
lATI 1.0	l A T I
lATara 1.0	l A T a r a
lAdana 1.0	l A d a n a
lAdina 1.0	l A d i n a
lAgU 1.0	l A g U
lAgawa 1.0	l A g a w a
lAgi 1.0	l A g i
lAgu 1.0	l A g u
lAhOra 1.0	l A h O r a
lAhora 1.0	l A h o r a
lAhura 1.0	l A h u r a
lAiseMsa 1.0	l A i s e M s a
lAita 1.0	l A i t a
lAke 1.0	l A k e
lAla 1.0	l A l a
lAne 1.0	l A n e
lAnsa 1.0	l A n s a
lAtsa 1.0	l A t s a
lAyA 1.0	l A y A
lAyI 1.0	l A y I
lAya 1.0	l A y a
lAyaka 1.0	l A y a k a
lAye 1.0	l A y e
lE 1.0	l E
lI 1.0	l I
lIdara 1.0	l I d a r a
lIga 1.0	l I g a
lIlA 1.0	l I l A
lOta 1.0	l O t a
lOte 1.0	l O t e
lOtnA 1.0	l O t n A
lOtne 1.0	l O t n e
lUta 1.0	l U t a
laDAI 1.0	l a D A I
laDZAI 1.0	l a D Z A I
laDZAkU 1.0	l a D Z A k U
laDa 1.0	l a D a
laKanO 1.0	l a K a n O
laKana 1.0	l a K a n a
laKanaU 1.0	l a K a n a U
laKanao 1.0	l a K a n a o
laKnOu 1.0	l a K n O u
laKnu 1.0	l a K n u
laMbI 1.0	l a M b I
laMdana 1.0	l a M d a n a
laMxana 1.0	l a M x a n a
laSkara 1.0	l a S k a r a
laSkare 1.0	l a S k a r e
ladAI 1.0	l a d A I
ladZAI 1.0	l a d Z A I
ladZAkU 1.0	l a d Z A k U
ladZa 1.0	l a d Z a
ladZawe 1.0	l a d Z a w e
ladZne 1.0	l a d Z n e
ladZwe 1.0	l a d Z w e
lagA 1.0	l a g A
lagAE 1.0	l a g A E
lagAI 1.0	l a g A I
lagAkara 1.0	l a g A k a r a
lagAnA 1.0	l a g A n A
lagAne 1.0	l a g A n e
lagAva 1.0	l a g A v a
lagAwAra 1.0	l a g A w A r a
lagAyA 1.0	l a g A y A
lagAye 1.0	l a g A y e
lagBaga 1.0	l a g B a g a
lagI 1.0	l a g I
lagIM 1.0	l a g I M
laga 1.0	l a g a
lagaBaga 1.0	l a g a B a g a
lagana 1.0	l a g a n a
lagawA 1.0	l a g a w A
lagaxa 1.0	l a g a x a
lage 1.0	l a g e
lageMge 1.0	l a g e M g e
lagegA 1.0	l a g e g A
lagwe 1.0	l a g w e
lakRA 1.0	l a k R A
lakRa 1.0	l a k R a
lakRaxvIpa 1.0	l a k R a x v I p a
lakRaxvipa 1.0	l a k R a x v i p a
lakRaya 1.0	l a k R a y a
lakRmI 1.0	l a k R m I
lakRmaNa 1.0	l a k R m a N a
lakRya 1.0	l a k R y a
laliwa 1.0	l a l i w a
lambA 1.0	l a m b A
lambI 1.0	l a m b I
lambIwa 1.0	l a m b I w a
landana 1.0	l a n d a n a
laxAka 1.0	l a x A k a
laxxAKa 1.0	l a x x A K a
le 1.0	l e
leKA 1.0	l e K A
leKa 1.0	l e K a
leKaka 1.0	l e K a k a
leKako 1.0	l e K a k o
leKakoM 1.0	l e K a k o M
leKana 1.0	l e K a n a
leKo 1.0	l e K o
leKoM 1.0	l e K o M
leM 1.0	l e M
leMge 1.0	l e M g e
lePtaneMta 1.0	l e P t a n e M t a
lePtaneMwa 1.0	l e P t a n e M w a
lePtinaMta 1.0	l e P t i n a M t a
lePtineMta 1.0	l e P t i n e M t a
lebrotrisa 1.0	l e b r o t r i s a
legA 1.0	l e g A
legI 1.0	l e g I
lega 1.0	l e g a
leha 1.0	l e h a
lehara 1.0	l e h a r a
leharo 1.0	l e h a r o
lehe 1.0	l e h e
lekIna 1.0	l e k I n a
lekara 1.0	l e k a r a
lekina 1.0	l e k i n a
leksevA 1.0	l e k s e v A
lele 1.0	l e l e
lenA 1.0	l e n A
lene 1.0	l e n e
letA 1.0	l e t A
lewA 1.0	l e w A
lewI 1.0	l e w I
lewe 1.0	l e w e
liKA 1.0	l i K A
liKAI 1.0	l i K A I
liKI 1.0	l i K I
liKa 1.0	l i K a
liKane 1.0	l i K a n e
liKawA 1.0	l i K a w A
liKe 1.0	l i K e
liKkara 1.0	l i K k a r a
liMga 1.0	l i M g a
liMka 1.0	l i M k a
liMwa 1.0	l i M w a
lie 1.0	l i e
lieMdara 1.0	l i e M d a r a
lika 1.0	l i k a
limiteda 1.0	l i m i t e d a
lindse 1.0	l i n d s e
lipI 1.0	l i p I
lisA 1.0	l i s A
livAlI 1.0	l i v A l I
liyA 1.0	l i y A
liyAjAnA 1.0	l i y A j A n A
liya 1.0	l i y a
liye 1.0	l i y e
liyeMdara 1.0	l i y e M d a r a
lo 1.0	l o
loBa 1.0	l o B a
loKArda 1.0	l o K A r d a
locana 1.0	l o c a n a
loda 1.0	l o d a
loga 1.0	l o g a
loge 1.0	l o g e
logo 1.0	l o g o
logoM 1.0	l o g o M
logoxAna 1.0	l o g o x A n a
loka 1.0	l o k a
lokapriya 1.0	l o k a p r i y a
lokasaBA 1.0	l o k a s a B A
lokpriya 1.0	l o k p r i y a
loksaBA 1.0	l o k s a B A
loliMga 1.0	l o l i M g a
loncara 1.0	l o n c a r a
lotAe 1.0	l o t A e
lotne 1.0	l o t n e
luPWAMsA 1.0	l u P W A M s A
lukawa 1.0	l u k a w a
mAGa 1.0	m A G a
mAIkrovela 1.0	m A I k r o v e l a
mAJa 1.0	m A J a
mAJeM 1.0	m A J e M
mAMga 1.0	m A M g a
mAMgeM 1.0	m A M g e M
mAMwe 1.0	m A M w e
mAPa 1.0	m A P a
mAWura 1.0	m A W u r a
mAXyama 1.0	m A X y a m a
mAhAda 1.0	m A h A d a
mAhAjana 1.0	m A h A j a n a
mAhIM 1.0	m A h I M
mAhOla 1.0	m A h O l a
mAksvAxI 1.0	m A k s v A x I
mAlA 1.0	m A l A
mAla 1.0	m A l a
mAmUlI 1.0	m A m U l I
mAmale 1.0	m A m a l e
mAmlA 1.0	m A m l A
mAmle 1.0	m A m l e
mAmlo 1.0	m A m l o
mAmloM 1.0	m A m l o M
mAnA 1.0	m A n A
mAna 1.0	m A n a
mAnaciwra 1.0	m A n a c i w r a
mAnane 1.0	m A n a n e
mAnava 1.0	m A n a v a
mAnavawA 1.0	m A n a v a w A
mAnawA 1.0	m A n a w A
mAnawI 1.0	m A n a w I
mAnawe 1.0	m A n a w e
mAne 1.0	m A n e
mAneMge 1.0	m A n e M g e
mAnegI 1.0	m A n e g I
mAnnA 1.0	m A n n A
mAnsUna 1.0	m A n s U n a
mAnuRa 1.0	m A n u R a
mAnvA 1.0	m A n v A
mAnwe 1.0	m A n w e
mAnya 1.0	m A n y a
mAnyawA 1.0	m A n y a w A
mApana 1.0	m A p a n a
mArA 1.0	m A r A
mArSala 1.0	m A r S a l a
mAra 1.0	m A r a
mAraka 1.0	m A r a k a
mArca 1.0	m A r c a
mAre 1.0	m A r e
mAregAi 1.0	m A r e g A i
mArga 1.0	m A r g a
mArgo 1.0	m A r g o
mArkara 1.0	m A r k a r a
mArksa 1.0	m A r k s a
mArksvAxI 1.0	m A r k s v A x I
mArne 1.0	m A r n e
mArpolo 1.0	m A r p o l o
mAwA 1.0	m A w A
mAwqBARA 1.0	m A w q B A R A
mAwrA 1.0	m A w r A
mAwra 1.0	m A w r a
mAwraBUmI 1.0	m A w r a B U m I
mAwraBUmi 1.0	m A w r a B U m i
mAwu 1.0	m A w u
mAyA 1.0	m A y A
mAyene 1.0	m A y e n e
mAz 1.0	m A z
mAzga 1.0	m A z g a
mAzge 1.0	m A z g e
mE 1.0	m E
mEM 1.0	m E M
mEMne 1.0	m E M n e
mEWilI 1.0	m E W i l I
mEca 1.0	m E c a
mEgAvAta 1.0	m E g A v A t a
mEna 1.0	m E n a
mEne 1.0	m E n e
mEsUra 1.0	m E s U r a
mEtaro 1.0	m E t a r o
mEwrI 1.0	m E w r I
mExAnI 1.0	m E x A n I
mExAna 1.0	m E x A n a
mExAnoM 1.0	m E x A n o M
mI 1.0	m I
mIdIyA 1.0	m I d I y A
mIdiyA 1.0	m I d i y A
mIdiyama 1.0	m I d i y a m a
mInata 1.0	m I n a t a
mOYsama 1.0	m O Y s a m a
mOjUxA 1.0	m O j U x A
mOjUxa 1.0	m O j U x a
mOjUxgI 1.0	m O j U x g I
mOjuxA 1.0	m O j u x A
mOjuxa 1.0	m O j u x a
mOjuxagI 1.0	m O j u x a g I
mOkA 1.0	m O k A
mOke 1.0	m O k e
mOlika 1.0	m O l i k a
mOna 1.0	m O n a
mOnasUna 1.0	m O n a s U n a
mOnsUna 1.0	m O n s U n a
mOnsuna 1.0	m O n s u n a
mOrya 1.0	m O r y a
mOsama 1.0	m O s a m a
mOwa 1.0	m O w a
mUlA 1.0	m U l A
mUla 1.0	m U l a
mUlawaH 1.0	m U l a w a H
mUlya 1.0	m U l y a
mUrwI 1.0	m U r w I
mUrwiyoM 1.0	m U r w i y o M
maI 1.0	m a I
maKa 1.0	m a K a
maMWoDAlo 1.0	m a M W o D A l o
maMWu 1.0	m a M W u
maMWura 1.0	m a M W u r a
maMdalYa 1.0	m a M d a l Y a
maMdala 1.0	m a M d a l a
maMgala 1.0	m a M g a l a
maMgalavAra 1.0	m a M g a l a v A r a
maMgolpurI 1.0	m a M g o l p u r I
maMjUrI 1.0	m a M j U r I
maMjUra 1.0	m a M j U r a
maMjZura 1.0	m a M j Z u r a
maMwrAlaya 1.0	m a M w r A l a y a
maMwrAlyA 1.0	m a M w r A l y A
maMwrAlya 1.0	m a M w r A l y a
maMwrAlyoM 1.0	m a M w r A l y o M
maMwrI 1.0	m a M w r I
maMwrImaMdalIya 1.0	m a M w r I m a M d a l I y a
maMwrIne 1.0	m a M w r I n e
maMwrIyo 1.0	m a M w r I y o
maMwra 1.0	m a M w r a
maMwralaya 1.0	m a M w r a l a y a
maMwriyoM 1.0	m a M w r i y o M
maMxira 1.0	m a M x i r a
maNa 1.0	m a N a
maNdala 1.0	m a N d a l a
maNdapa 1.0	m a N d a p a
maSkova 1.0	m a S k o v a
maSvarA 1.0	m a S v a r A
maTa 1.0	m a T a
maWoDAlo 1.0	m a W o D A l o
maWurA 1.0	m a W u r A
maXu 1.0	m a X u
maXya 1.0	m a X y a
maXyapraxeSa 1.0	m a X y a p r a x e S a
maXyasWA 1.0	m a X y a s W A
maXyasWa 1.0	m a X y a s W a
maXyasWawA 1.0	m a X y a s W a w A
maXyavarwI 1.0	m a X y a v a r w I
magaXa 1.0	m a g a X a
magana 1.0	m a g a n a
magara 1.0	m a g a r a
mahA 1.0	m a h A
mahABArawa 1.0	m a h A B A r a w a
mahAda 1.0	m a h A d a
mahAjana 1.0	m a h A j a n a
mahAkAvya 1.0	m a h A k A v y a
mahAmArI 1.0	m a h A m A r I
mahAna 1.0	m a h A n a
mahAnagara 1.0	m a h A n a g a r a
mahAnaxI 1.0	m a h A n a x I
mahAnixeSaka 1.0	m a h A n i x e S a k a
mahArARa 1.0	m a h A r A R a
mahArARta 1.0	m a h A r A R t a
mahArARtrA 1.0	m a h A r A R t r A
mahAsaciva 1.0	m a h A s a c i v a
mahAvIra 1.0	m a h A v I r a
mahAxevI 1.0	m a h A x e v I
mahAxvIpa 1.0	m a h A x v I p a
mahIlA 1.0	m a h I l A
mahIne 1.0	m a h I n e
mahaja 1.0	m a h a j a
mahala 1.0	m a h a l a
mahamUxa 1.0	m a h a m U x a
maharARta 1.0	m a h a r A R t a
maharRi 1.0	m a h a r R i
mahasUsa 1.0	m a h a s U s a
mahawpUrNa 1.0	m a h a w p U r N a
mahawpurNa 1.0	m a h a w p u r N a
mahawvAkAMRaoM 1.0	m a h a w v A k A M R a o M
mahawva 1.0	m a h a w v a
mahawvapUrNa 1.0	m a h a w v a p U r N a
mahawvapurNa 1.0	m a h a w v a p u r N a
mahawwA 1.0	m a h a w w A
mahawwvapUrNa 1.0	m a h a w w v a p U r N a
maheSa 1.0	m a h e S a
mahilA 1.0	m a h i l A
mahilAoM 1.0	m a h i l A o M
mahimA 1.0	m a h i m A
mahine 1.0	m a h i n e
mahineM 1.0	m a h i n e M
mahowsava 1.0	m a h o w s a v a
mahroli 1.0	m a h r o l i
mahsUsa 1.0	m a h s U s a
mahsusa 1.0	m a h s u s a
mahuz 1.0	m a h u z
majZahbI 1.0	m a j Z a h b I
majZbUwa 1.0	m a j Z b U w a
majZbuwI 1.0	m a j Z b u w I
majZoora 1.0	m a j Z o o r a
majbUra 1.0	m a j b U r a
majbUwI 1.0	m a j b U w I
majbUwa 1.0	m a j b U w a
majbuwa 1.0	m a j b u w a
majjana 1.0	m a j j a n a
majjanu 1.0	m a j j a n u
makAna 1.0	m a k A n a
makAnoM 1.0	m a k A n o M
maksaxa 1.0	m a k s a x a
malE 1.0	m a l E
mala 1.0	m a l a
malika 1.0	m a l i k a
malina 1.0	m a l i n a
mama 1.0	m a m a
manA 1.0	m a n A
manAyA 1.0	m a n A y A
manIRa 1.0	m a n I R a
mana 1.0	m a n a
manca 1.0	m a n c a
manjUrI 1.0	m a n j U r I
manobala 1.0	m a n o b a l a
manohara 1.0	m a n o h a r a
manoraMjana 1.0	m a n o r a M j a n a
manoraWa 1.0	m a n o r a W a
manovEjFAnika 1.0	m a n o v E j F A n i k a
mansUbe 1.0	m a n s U b e
mansubI 1.0	m a n s u b I
mansuka 1.0	m a n s u k a
manuRya 1.0	m a n u R y a
manwara 1.0	m a n w a r a
manwrAlaya 1.0	m a n w r A l a y a
manwrAlya 1.0	m a n w r A l y a
manwrI 1.0	m a n w r I
manwrImaMdala 1.0	m a n w r I m a M d a l a
manwra 1.0	m a n w r a
manwrimaMdala 1.0	m a n w r i m a M d a l a
manwriyoM 1.0	m a n w r i y o M
manxira 1.0	m a n x i r a
marATI 1.0	m a r A T I
marATavAdA 1.0	m a r A T a v A d A
marIja 1.0	m a r I j a
maramu 1.0	m a r a m u
marana 1.0	m a r a n a
maranevAloM 1.0	m a r a n e v A l o M
marjI 1.0	m a r j I
marne 1.0	m a r n e
marpolo 1.0	m a r p o l o
masama 1.0	m a s a m a
masjixa 1.0	m a s j i x a
masle 1.0	m a s l e
mawBexa 1.0	m a w B e x a
mawa 1.0	m a w a
mawaBexa 1.0	m a w a B e x a
mawi 1.0	m a w i
mawlaba 1.0	m a w l a b a
mawoM 1.0	m a w o M
maxaxa 1.0	m a x a x a
maxekI 1.0	m a x e k I
maxrAsa 1.0	m a x r A s a
mayUra 1.0	m a y U r a
maya 1.0	m a y a
mayura 1.0	m a y u r a
mayxAnI 1.0	m a y x A n I
me 1.0	m e
meGAlaya 1.0	m e G A l a y a
meM 1.0	m e M
meMca 1.0	m e M c a
meMsA 1.0	m e M s A
meWi 1.0	m e W i
meca 1.0	m e c a
mecoM 1.0	m e c o M
megA 1.0	m e g A
mehalA 1.0	m e h a l A
mehanawa 1.0	m e h a n a w a
mehawvapUrNa 1.0	m e h a w v a p U r N a
mehrolI 1.0	m e h r o l I
mejara 1.0	m e j a r a
meksiko 1.0	m e k s i k o
melbarna 1.0	m e l b a r n a
mele 1.0	m e l e
merA 1.0	m e r A
merI 1.0	m e r I
mere 1.0	m e r e
mesidoniyA 1.0	m e s i d o n i y A
metlIna 1.0	m e t l I n a
metro 1.0	m e t r o
miSana 1.0	m i S a n a
miSra 1.0	m i S r a
miSraNa 1.0	m i S r a N a
midiyama 1.0	m i d i y a m a
miksa 1.0	m i k s a
milA 1.0	m i l A
milAxula 1.0	m i l A x u l a
milI 1.0	m i l I
milIyana 1.0	m i l I y a n a
milJula 1.0	m i l J u l a
mila 1.0	m i l a
milakara 1.0	m i l a k a r a
milanA 1.0	m i l a n A
milana 1.0	m i l a n a
milane 1.0	m i l a n e
milawA 1.0	m i l a w A
milawI 1.0	m i l a w I
mile 1.0	m i l e
milegI 1.0	m i l e g I
militrI 1.0	m i l i t r I
milkara 1.0	m i l k a r a
mille 1.0	m i l l e
milnA 1.0	m i l n A
milne 1.0	m i l n e
milosuvicko 1.0	m i l o s u v i c k o
milwA 1.0	m i l w A
minata 1.0	m i n a t a
minita 1.0	m i n i t a
misAila 1.0	m i s A i l a
misAyala 1.0	m i s A y a l a
mitA 1.0	m i t A
